"Timestamp","1. What is your musical taste? Select any genre or singer or group that you enjoy. ","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching.","4. What is your TV shows taste? Select any TV series that you enjoyed watching.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use? ","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/17 10:35:28 PM GMT+1","Punk Rock music;Pop music;Ed Sheeran;The Beatles;Billie Eilish;The Rolling Stones;David Bowie;5 Seconds of Summer","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Stories series","Friends;Gavin and Stacey","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Pinterest;Snapchat","Between 10 and 20 hours","I mostly use cash","15"
"2019/06/17 10:46:37 PM GMT+1","Punk Rock music;Folk music;Pop music;The Beatles;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Star Wars series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Doctor Who;Downtown Abbey;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cash","39"
"2019/06/17 10:47:20 PM GMT+1","Folk music;Country music","I mostly  listen to CDs","It's a Wonderful Life;Casablanca","Only Fools and Horses","I only watch live TV","I don't use any social media app","Between 2 and 5 hours","I mostly use cash","61"
"2019/06/17 10:51:14 PM GMT+1","Pop music;Ed Sheeran;The Beatles","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually","Friends;Downtown Abbey","I mostly watch recorded programs on my TV","Facebook;WhatsApp;Skype","Between 5 and 10 hours","I mostly use cards","32"
"2019/06/17 10:53:26 PM GMT+1","Classical music;Pop music;Ed Sheeran;The Beatles;David Bowie","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;Back to the Future","Friends;Doctor Who;Downtown Abbey;Gavin and Stacey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cash","43"
"2019/06/17 10:54:15 PM GMT+1","Punk Rock music;Folk music;Pop music","I mostly listen to the radio","Star Wars series;2001 Space Odyssey;Apocalypse Now","Doctor Who;Game of Thrones","I mostly watch recorded programs on my TV","WhatsApp;Skype","Between 10 and 20 hours","I mostly use cards","48"
"2019/06/17 11:05:35 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish","I mostly use the internet","Harry Potter series","Friends;Downtown Abbey","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Skype","Between 10 and 20 hours","I mostly use cards","39"
"2019/06/17 11:06:53 PM GMT+1","Punk Rock music;Pop music;Ed Sheeran;The Beatles;The Rolling Stones","I mostly listen to the radio","Star Wars series;2001 Space Odyssey;Apocalypse Now","Doctor Who;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cards","46"
"2019/06/17 11:11:46 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;David Bowie;5 Seconds of Summer","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Stories series;Back to the Future","Friends;Doctor Who;Downtown Abbey","I mostly watch recorded programs on my TV","WhatsApp;Pinterest;Skype","Between 10 and 20 hours","I mostly use cards","13"
"2019/06/17 11:12:28 PM GMT+1","Ed Sheeran","I mostly listen to the radio","Toy Stories series","The Next Step","I mostly watch recorded programs on my TV","I don't use any social media app","I don't own a smart phone","I mostly use cash","9"
"2019/06/17 11:15:39 PM GMT+1","Punk Rock music;Pop music;Ed Sheeran;The Beatles;Billie Eilish;The Rolling Stones;David Bowie;5 Seconds of Summer","I mostly use the internet","Harry Potter series;Toy Stories series","Friends;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Pinterest;Snapchat","Between 10 and 20 hours","I mostly use cards","15"
